CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
ST,48,51.24,37.2,0.5,1.6,2.5,34.6,9.2,30.0,16.8,31.2,44.9,3665.0
MASS,1,57.12,6.3,24.1,2.7,2.3,2.6,16.6,33.3,128.1,48.0,,4158.9
MASS,2,52.36,6.3,25.6,2.4,2.6,2.4,17.2,33.5,121.5,46.0,,3812.3
MASS,3,51.80,6.2,23.0,2.3,3.0,2.3,16.4,29.6,117.4,41.9,,3611.6
MASS,4,54.88,6.7,24.1,2.8,2.4,2.3,17.6,38.3,128.5,48.4,,4051.1
MASS,5,53.20,7.6,26.6,2.6,2.1,2.5,17.1,34.6,147.1,47.6,,2895.2
MASS,6,57.40,5.7,21.5,2.5,2.7,2.3,16.5,31.9,120.6,44.4,,3974.8
MASS,7,50.68,6.7,23.0,2.7,2.4,2.5,16.7,33.3,394.9,44.4,,4031.2
MASS,8,62.16,5.9,22.5,2.3,2.7,1.7,16.0,32.2,237.8,40.5,,4236.8
MASS,9,55.44,6.5,18.0,2.4,3.0,1.7,16.2,29.7,124.4,41.0,,3646.5
MASS,10,53.48,6.4,23.5,2.2,2.3,2.4,17.2,33.1,138.0,49.5,,3777.5
MASS,11,51.80,7.5,21.0,3.0,2.4,2.6,16.7,35.8,138.0,47.9,,3167.2
MASS,12,54.32,5.9,21.0,2.3,2.5,2.5,16.5,35.4,202.4,46.8,,3721.1
MASS,14,61.32,5.5,23.0,2.6,2.6,2.6,16.1,33.4,448.7,43.5,,3936.7
MASS,16,51.80,6.4,23.5,2.3,2.4,2.3,15.8,32.2,212.6,42.7,,4275.0
MASS,17,55.44,6.4,23.0,2.1,2.7,2.1,15.4,28.2,117.1,39.5,,4017.9
MASS,18,52.36,3.7,23.0,2.6,2.6,2.3,15.7,31.3,264.2,42.7,,3603.3
MASS,19,53.20,7.1,21.0,2.7,2.5,3.1,16.5,34.0,144.0,45.3,,4041.2
MASS,20,53.48,5.5,22.0,2.3,2.5,2.8,16.5,30.6,123.3,43.4,,3624.9
MASS,21,52.08,6.6,20.5,2.5,2.4,2.4,15.7,31.2,196.9,43.3,,4008.0
MASS,22,53.48,5.9,22.0,1.5,1.7,1.8,16.0,27.2,134.5,42.0,,3797.4
MASS,23,53.76,5.5,21.0,2.4,2.7,2.2,16.0,30.4,110.8,41.7,,4192.1
MASS,24,52.92,6.9,22.5,2.5,2.3,2.5,16.6,35.0,239.9,45.3,,4203.7
MASS,25,54.32,6.6,21.5,2.6,2.6,2.6,15.8,30.6,120.3,43.2,,3830.5
MASS,26,49.00,6.1,19.5,2.6,2.4,2.3,15.1,30.4,310.5,42.8,,3542.0
